id_cliente,nome_cliente,email,endereco_cliente,estado
207,Luna Pires,luiz-henrique77@ig.com.br,"Via Bencio Barros, 78, Prado, 85983760 Cardoso da Serra / RO",PE
208,Breno Rodrigues,viananathan@gmail.com,"Chcara Pedro Viana, 73, Comiteco, 55543237 Cavalcanti de Gonalves / RJ",PR
209,Kaique Farias,joao-vitorcastro@bol.com.br,"Quadra de Santos, 58, Vila Suzana Segunda Seo, 51502-245 Nascimento / AC",SC
210,Juliana Rezende,kfernandes@novaes.br,"Estao Arajo, 58, Beira Linha, 14011-024 Oliveira de Gomes / SC",PE
211,Brbara Cavalcanti,bda-mota@ferreira.com,"Ptio Eduarda Fogaa, 68, Conjunto Santa Maria, 16482-144 Alves / AC",CE
212,Joana Ribeiro,zda-cunha@bol.com.br,"Viaduto Bruna Pinto, 85, Comiteco, 05713-581 Rezende / CE",RJ
213,Lavnia Castro,icorreia@da.br,"Jardim Maria da Luz, 33, Vila Das Oliveiras, 17742740 Peixoto / PR",MG
214,Srta. Brbara Mendes,maysa31@ig.com.br,"Lago Santos, 3, Vila Santo Antnio, 25387-597 Lopes de Viana / SP",DF
215,Ana Vitria Fernandes,nina51@cunha.br,"Praa de Silveira, 25, Alpio De Melo, 32733-316 Fogaa / MG",RJ
216,Kamilly Nunes,rebeca44@sales.net,"Conjunto Helena Correia, 27, Laranjeiras, 12831695 Freitas / SE",SC
217,Ana Beatriz Barbosa,luiz-otavioalves@ig.com.br,"Estao Gonalves, 2, Vila Sumar, 42102807 Azevedo / PI",MG
218,Elisa Cardoso,da-costajoao-guilherme@pinto.br,"Ncleo de da Mata, 898, Novo So Lucas, 34549839 Oliveira / BA",CE
219,Murilo Cardoso,cavalcantieduarda@silva.com,"Favela Pedro Lucas Martins, Vila Madre Gertrudes 3 Seo, 31530-580 Barbosa / RN",RS
220,Diego Barros,anacavalcanti@bol.com.br,"Morro Heitor da Rocha, 1, Santa Branca, 27498-285 Santos da Serra / AP",SC
221,Kevin Sales,isis37@hotmail.com,"Chcara de Rodrigues, 13, Mala E Cuia, 51690517 Farias Verde / PI",RJ
222,Dr. Breno Castro,luigicarvalho@yahoo.com.br,"Ladeira de Ramos, Vista Alegre, 60153-749 Moura / AL",RJ
223,Ana Jlia Melo,spinto@ramos.com,"Ladeira Cavalcanti, 385, Vila Canto Do Sabi, 88426843 Monteiro / SE",SP
224,Carolina Moreira,bda-costa@bol.com.br,"Fazenda de da Cruz, 792, Caiaras, 42878-002 Azevedo / AC",CE
225,Marina Nascimento,enzo-gabrieljesus@bol.com.br,"Favela de Duarte, 7, Dom Cabral, 49485472 Cavalcanti / RS",SP
226,Clara Pereira,ian73@yahoo.com.br,"Ladeira Alcia Pereira, 83, Vila Madre Gertrudes 2 Seo, 17916-557 Silva da Praia / RN",DF
227,Noah Moura,juliamoraes@hotmail.com,"Condomnio Melo, 79, Teixeira Dias, 32671-967 Ramos Paulista / BA",DF
228,Srta. Pietra Silva,camposmelissa@ig.com.br,"Fazenda Caldeira, 54, Vila Califrnia, 48295-670 Rodrigues / RR",BA
229,Juan da Cunha,costabrenda@gmail.com,"Loteamento da Cruz, Capito Eduardo, 80565413 Farias / MS",DF
230,Mirella Silveira,samuel39@pires.br,"Rodovia de Carvalho, 414, Nova Pampulha, 27930-133 Teixeira Verde / AC",RS
231,Anthony Gomes,leonardo75@lima.org,"Lago de Fogaa, 840, Renascena, 64432368 Silveira / PA",SP
232,Lorena Silva,mdias@novaes.br,"rea Sales, 18, Andiroba, 24193-346 Arago / MS",CE
233,Manuela da Conceio,caioazevedo@goncalves.com,"Alameda de da Conceio, Novo Tupi, 41043-090 Silva Grande / PI",SC
234,Stella Viana,marinanogueira@bol.com.br,"Rua de Melo, Ernesto Nascimento, 06138158 Oliveira de Rezende / RN",CE
235,Anthony das Neves,fernandada-mota@teixeira.org,"Alameda Isadora Fernandes, 187, Vila Hava, 86953-975 Rezende / RJ",CE
236,Maria Eduarda Vieira,nicolecastro@correia.net,"Feira Almeida, 85, Silveira, 77528-310 Sales / AL",PE
237,Joo Felipe Carvalho,nogueirabryan@cardoso.com,"Loteamento de das Neves, 231, Vila Barragem Santa Lcia, 41360248 da Cruz de Costa / CE",MG
238,Leandro Rodrigues,vitor-gabrielaraujo@gmail.com,"Trecho Cardoso, Betnia, 66154341 Cunha de Gois / PB",PR
239,Sra. Gabrielly Costela,benjamin88@bol.com.br,"Esplanada de Teixeira, 47, Minas Caixa, 33551281 Barros da Serra / RS",BA
240,Clarice Rocha,thiago57@bol.com.br,"Stio da Luz, 55, Conjunto Minas Caixa, 92876401 Barros / AP",RS
241,Luiz Fernando Carvalho,eloahalves@yahoo.com.br,"Vila de Melo, 63, Boa Unio 1 Seo, 36448655 Nogueira do Norte / PI",DF
242,Olivia Mendes,igor07@yahoo.com.br,"Lagoa Nathan da Mata, 9, Vila Esplanada, 70304010 Campos Paulista / PB",SC
243,Isabel Pinto,francisco73@hotmail.com,"Vereda Nicolas Moraes, 59, Grotinha, 79538239 Martins do Oeste / AL",MG
244,Benjamin Ramos,almeidamariane@gmail.com,"Morro de Lima, 7, Santa Branca, 99919652 Vieira de da Rocha / AL",PE
245,Dr. Anthony Arago,gabriel77@rezende.br,"Recanto de Almeida, Maria Goretti, 01313-549 Lopes Paulista / MS",CE
246,Ana Jlia Sales,benjamin74@barbosa.br,"Campo Duarte, Xangri-L, 34116-753 Duarte do Sul / TO",CE
247,Eloah Rocha,oliveiramaria-vitoria@cardoso.com,"Residencial Ferreira, 9, Vila Oeste, 25386384 da Cruz / SC",RJ
248,Vitria Jesus,ana-livia52@yahoo.com.br,"Campo de da Cunha, 70, Novo Tupi, 42713733 Moura / CE",BA
249,Sr. Enzo Porto,juliavieira@gmail.com,"Esplanada de Pereira, 7, Maria Helena, 53628766 Nogueira / PI",PR
250,Isabella Azevedo,giovanna01@silveira.br,"Vila de da Cunha, Bairro Das Indstrias Ii, 57536-559 Silveira de Nunes / AC",CE
251,Ceclia Arajo,moliveira@novaes.com,"Campo da Conceio, 358, Unio, 96734918 Mendes do Campo / RN",SP
252,Clarice Teixeira,giovannadas-neves@vieira.com,"Condomnio Pires, 6, Vila Bandeirantes, 88565332 Dias / RS",RS
253,Sr. Rafael Caldeira,da-pazcalebe@uol.com.br,"Vila de da Cruz, 94, Rio Branco, 50417731 Santos da Mata / PA",DF
254,Sr. Gustavo Sales,araujoana-julia@bol.com.br,"Estao Dias, 81, Vila Oeste, 37207-060 Arago / PR",MG
255,Yuri da Costa,nascimentocecilia@barros.br,"Stio Levi Carvalho, 66, Vila Boa Vista, 76229926 Correia da Praia / ES",CE
256,Brbara Monteiro,otavioda-rocha@vieira.br,"Trevo de Gomes, 79, Vila Primeiro De Maio, 60554-182 Ferreira / BA",MG
257,Marcela Caldeira,joao-feliperamos@ferreira.br,"Viela Joana Barros, Juliana, 86094-174 Silva / AL",PE
258,Kevin Barros,unascimento@moura.net,"Trevo Barbosa, 8, Minas Caixa, 01391-194 da Cunha / SE",MG
259,Julia Teixeira,fernandodas-neves@cardoso.net,"Distrito Martins, 3, Dona Clara, 31227-941 Alves do Oeste / AM",MG
260,Amanda Silveira,rfernandes@freitas.com,"Feira Pinto, 32, Vila Bandeirantes, 96670746 Novaes / PA",DF
261,Maria Fernanda Rezende,claramoraes@da.br,"Chcara Mariane Costela, 580, Vila Mangueiras, 64896-580 Cavalcanti / AC",DF
262,Maria Clara Campos,eloah02@souza.net,"Estao Arago, Vila Da Luz, 03725-181 Silva de Teixeira / PE",MG
263,Davi Lucas Rocha,heloisa19@bol.com.br,"rea Farias, 8, Esplanada, 36089-626 Farias / PB",PE
264,Alice Pinto,cmoraes@uol.com.br,"Ladeira Joo Lucas Monteiro, 57, Nova Esperana, 26909215 Arago / CE",PR
265,Evelyn Cardoso,augusto23@cunha.br,"Ptio Camila Mendes, Vila Maloca, 67162-895 Moraes Paulista / MG",SP
266,Lucca Viana,balmeida@rocha.com,"Via Moreira, 8, Zilah Sposito, 85357-975 Silveira / MS",RS
267,Noah Pires,nicole99@monteiro.br,"Avenida Carvalho, 5, So Marcos, 81405779 Fogaa de Silveira / RS",PE
268,Pedro Lucas Caldeira,pietroda-conceicao@ig.com.br,"Largo Maria Vitria Farias, 556, Conjunto Santa Maria, 92339-553 Cunha das Flores / CE",RS
269,Otvio Vieira,yuri11@gmail.com,"Campo Bruna da Conceio, 46, Vila Maria, 01337097 Viana / PA",RJ
270,Davi Lucas Moraes,uviana@bol.com.br,"Trecho Amanda Porto, 38, Santa Lcia, 45814501 das Neves dos Dourados / MG",SC
271,Lavnia Costa,heitorda-cunha@pires.com,"Condomnio de Souza, 83, Alpes, 31381-310 Oliveira da Prata / PE",PR
272,Vitor Silveira,vitor-hugo62@ig.com.br,"Esplanada Oliveira, Vila Das Oliveiras, 97854674 Cunha de Cunha / MS",RS
273,Sr. Marcelo Gomes,rochaenzo@teixeira.br,"Chcara de da Cruz, 415, Vila Antena, 38337-852 Vieira da Mata / MG",SP
274,Mariana Teixeira,nascimentoleandro@gmail.com,"Ptio de Viana, 2, Primeiro De Maio, 22729-349 da Paz / RR",RS
275,Camila Moraes,silvajoaquim@bol.com.br,"Jardim Eduarda Farias, 16, Padre Eustquio, 71516-157 Fernandes / RR",CE
276,Felipe Pereira,jgomes@sales.com,"Lago de da Rocha, 732, Salgado Filho, 09408-545 Santos de Arajo / PA",PR
277,Caroline Vieira,ida-conceicao@da.com,"Trevo de Lima, 7, Cu Azul, 68257-034 Vieira / ES",BA
278,Leandro Jesus,clarice35@jesus.com,"Trecho de Azevedo, 26, Piratininga, 25966421 Rezende de Caldeira / RR",PE
279,Joo Miguel Moraes,maria-clara33@uol.com.br,"Vale Davi Luiz Nascimento, 184, Beija Flor, 75032294 Barros da Mata / PB",PE
280,Sr. Diogo Farias,vsilveira@gmail.com,"Avenida Lopes, 56, Garas, 20721-369 Ramos / AC",SP
281,Ana Jlia Correia,xduarte@gmail.com,"Praa Felipe Martins, 2, Sion, 50364657 Oliveira / RS",SP
282,Maria Sophia Teixeira,ana-juliacostela@uol.com.br,"Viaduto de Porto, 43, Unidas, 57903-290 da Costa / RO",PR
283,Maria Alice da Paz,azevedoguilherme@yahoo.com.br,"Morro Carlos Eduardo Moura, 2, Vila Independencia 1 Seo, 01366353 Mendes de Gois / RN",RJ
284,Caroline Mendes,arthurcardoso@gmail.com,"Ncleo Barbosa, 73, Vila So Rafael, 47101322 Ramos / SC",CE
285,Murilo Caldeira,kporto@uol.com.br,"Loteamento de das Neves, 75, Aguas Claras, 97670829 Fogaa de Gois / MS",SC
286,Sophia Sales,ida-costa@pires.net,"Vale Julia das Neves, 3, Vila Do Pombal, 64593162 Arajo Paulista / RS",SC
287,Rafaela Cardoso,luna22@nogueira.org,"Setor Moura, 943, Jardim Amrica, 71320685 Moreira da Praia / PR",DF
288,Gabriel Cunha,eduardomoreira@lima.com,"Trecho de da Mota, 26, Vila Puc, 23138293 Fogaa / RO",CE
289,Sr. Bencio Azevedo,jesusdaniel@farias.org,"Rodovia de Santos, 70, Conjunto Taquaril, 05155140 Alves / RR",DF
290,Fernanda Cardoso,isabella50@carvalho.com,"Lago Nicole Arajo, 343, Vila Primeiro De Maio, 38622-022 Almeida / AM",MG
291,Milena Monteiro,benjaminfarias@viana.com,"Rodovia Correia, 80, Varzea Da Palma, 88003184 Gonalves Grande / SE",BA
292,Fernando Martins,elima@ig.com.br,"Lagoa Lavnia Lima, Luxemburgo, 53771-044 Jesus do Galho / SE",BA
293,Emanuel da Mota,marcelasilva@yahoo.com.br,"Condomnio da Rocha, 621, Palmeiras, 41231888 das Neves / RN",PR
294,Maria Clara Silva,joao-felipeda-cruz@yahoo.com.br,"Loteamento Lopes, 867, Frei Leopoldo, 32987636 Ramos de Minas / RO",DF
295,Felipe da Paz,castromirella@gmail.com,"Rua Maria Sophia Novaes, 36, Madre Gertrudes, 68273-344 Vieira / MG",RJ
296,Elisa Porto,clara00@hotmail.com,"Viaduto Ribeiro, 21, Calafate, 18116-271 Moura da Prata / PR",CE
297,Gabriel Mendes,fernanda60@almeida.com,"Viela Rafaela Costela, 4, Nova Vista, 37217261 Lima de Teixeira / AC",SC
298,Srta. Giovanna Cardoso,jda-mata@azevedo.br,"Morro Costa, 79, Alto Caiaras, 53084339 Cunha das Flores / AC",BA
299,Sra. Maria Eduarda Santos,luiz-henriquepinto@gmail.com,"Setor Guilherme da Luz, 14, Aparecida 7 Seo, 33545596 Barbosa / AL",RS
300,Marcelo Pinto,stephanybarbosa@peixoto.com,"Campo da Rosa, 4, Beira Linha, 27529372 Peixoto / DF",CE
